Shipping Bill No,Shipping Bill Date,IEC,EXPORTER,EXPORTER_ADDRESS_&_CITY,City,PIN,State,CONTACT_NO,E_MAIL_ID,CONSINEE,CONSINEE_ADDRESS,PORT_CODE,FOREIGN_PORT,FOREIGN_COUNTRY,HS_CODE,CHAPTER,PRODUCT_DESCRIPITION,QUANTITY,UNIT_QUANTITY,ITEM_RATE_IN_FC Very Imp. Some time Unit rate is from 1 unit to 1000 unit,CURRENCY,Total_Value_IN_FC,Unit_Rate_In_USD_(Exchange),Exchange_Rate_(USD),Total_Value_IN_USD_(Exchange),Unit Rate in INR,FOB In INR,INVOICE_SERIAL_NUMBER,INVOICE_NUMBER,ITEM_NUMBER,DRAWBACK,MONTH,YEAR,MODE,INDIAN_PORT,CUSH
2353845,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Incheon,"KOREA,REPUBLIC OF",72223012,72,SS BRIGHT BAR PEELED NI CR ( GRADE ASTM 316L ) ,0.96,MTS,3029.48,USD,2908.3008,2984.838134,74.65,2865.444608,222818.1667,213905.44,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2355151,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :6279562 DTD 30.12.2019 (QTY:56 PCS)  5919838 DT:03.12.2019(QTY: 84PCS) 5210940 DTD09.10.2019(QTY:35PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-043,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5954747 DTD 05.12.2019 (QTY:16 PCS)  5966074 DT:06.12.2019(QTY: 16PCS) 6112680 DTD17.12.2019(QTY:8PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355152,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5945155DTD04.12.2019(Q TY:19 PCS)  5944815 DT:04.12.2019(QTY:19 PCS) 6231744 DTD26.12.2019(QTY:14PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-066,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5564574 DTD 05.11.2019 (QTY:5 PCS)  5564224 DT:05.11.2019(QTY:5 PCS) 5846858 DTD27.11.2019(QTY:19PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :6261531 DTD 27.12.2019 (QTY:3 PCS)  6271215 DT:28.12.2019(QTY:1 6PCS) 4670406 DTD28.08.2019(QTY:1PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355152,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :6044471DTD12.12.2019(Q TY:7 PCS)  6248009 DT:26.12.2019(QTY:47P CS) 6024797 DTD10.12.2019(QTY:21PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-066,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5032637 DTD 24.09.2019 (QTY:1 PCS)  5483337 DT:30.10.2019(QTY:1 PCS) 6258220 DTD27.12.2019(QTY:1PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5463209 DTD 28.10.2019 (QTY:7 PCS)  5564247 DT:05.11.2019(QTY:6 PCS) 5564223 DTD05.11.2019(QTY:6PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :6112677 DTD 17.12.2019 (QTY:8 PCS)  6258157 DT:27.12.2019(QTY:8 PCS) 6258156 DTD27.12.2019(QTY:5PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355152,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :6249221DTD26.12.2019(Q TY:9 PCS)  6248005 DT:26.12.2019(QTY:6PC S) 5944313 DTD04.12.2019(QTY:10PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-066,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5615900 DTD09.11.2019( QTY:5 PCS)  5707684 DT:16.11.2019(QTY:5P CS) 5656850 DTD13.11.2019(QTY:3PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5708550 DTD16.11.2019( QTY:3 PCS)  5787375 DT:22.11.2019(QTY:5P CS) 5786887 DTD22.11.2019(QTY:5PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355152,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5931477DTD03.12.2019(Q TY:8 PCS)  5931778 DT:03.12.2019(QTY:8PC S) 5931482 DTD03.12.2019(QTY:5PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-066,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5564434DTD05.11.2019(Q TY:3 PCS)  5564436 DT:05.11.2019(QTY:1PC S) 5570282 DTD06.11.2019(QTY:6PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5764035DTD21.11.2019(Q TY:1 PCS)  5212377 DT:09.10.2019(QTY:6PC S) 5212361 DTD09.10.2019(QTY:6PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355207,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5717394 DTD18.11.2019( QTY:93 PCS)  6404370 DT:09.01.2020(QTY:9 9PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-094,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5931103 DTD03.12.2019( QTY:10 PCS)  6235722 DT:26.12.2019(QTY:1 PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355151,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,EXPORT VIDE FEMA NOTIFICATION 23/2000-RB /03.05.2000 & FEMA116/2004-RB/25.03.2004 ,1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-043,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355152,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,EXPORT VIDE FEMA NOTIFICATION 23/2000-RB /03.05.2000 & FEMA116/2004-RB/25.03.2004 ,1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-066,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355207,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,EXPORT VIDE FEMA NOTIFICATION 23/2000-RB /03.05.2000 & FEMA116/2004-RB/25.03.2004 ,1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-094,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,EXPORT VIDE FEMA NOTIFICATION 23/2000-RB /03.05.2000 & FEMA116/2004-RB/25.03.2004 ,1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355152,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :6232392 DTD 26.12.2019 (QTY:19 PCS) ,1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-066,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355151,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5274525 DTD14.10.2019( QTY:17 PCS) ,1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-043,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2353844,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Kaohsiung,TAIWAN,72222012,72,SS BRIGHT BAR COLD DRAWN Ni Cr ( GRADE AISI 304L ) ,1.004,MTS,2251.36,USD,2260.36544,2218.180593,74.65,2227.053315,165587.1813,166249.53,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2353568,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Altamira,MEXICO,72201190,72,SS FLAT HR MORE THAN 4.75THICK ( GRADE AISI 304L ) ,1.008,MTS,2038.17,USD,2054.47536,2008.134921,74.65,2024.2,149907.2718,151106.53,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2355908,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Busan(Korea),"KOREA,REPUBLIC OF",72223012,72,SS BRIGHT BAR PEELED NI CR ( GRADE AISI 303F ) ,1.016,MTS,2252.29,USD,2288.32664,2219.105695,74.65,2254.611386,165656.2402,168306.74,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2353565,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Port Kelang,MALAYSIA,72221992,72,SS BAR HR NOT CIRCULAR Ni Cr ( GRADE S30403 ) ,1.02,MTS,1948.27,USD,1987.2354,1919.56411,74.65,1957.955392,143295.4608,146161.37,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2353567,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Buenos Aires,ARGENTINA,72222012,72,SS BRIGHT BAR COLD DRAWN Ni Cr ( GRADE AISI 316 ) ,1.1,MTS,3542.32,USD,3896.552,3490.11971,74.65,3839.131681,260537.4364,286591.18,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2353845,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Incheon,"KOREA,REPUBLIC OF",72223011,72,SS BRIGHT BAR PEELED Cr ( GRADE AISI 410 ) ,1.122,MTS,1474.61,USD,1654.51242,1452.883987,74.65,1630.135834,108457.7897,121689.64,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2355658,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,La Spezia,ITALY,72221992,72,SS BAR HR NOT CIRCULAR Ni Cr ( GRADE AISI 316/316L ) ,1.231,MTS,3022.96,USD,3721.26376,2978.411031,74.65,3666.423979,222338.3834,273698.55,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2353849,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Durban,SOUTH AFRICA,72222012,72,SS BRIGHT BAR COLD DRAWN Ni Cr ( GRADE AISI 316/316L ) ,1.268,MTS,2977.16,USD,3775.03888,2933.290265,74.65,3719.412056,218970.1183,277654.11,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
